time, GYRO_X, GYRO_Y, GYRO_Z, ACCEL_X, ACCEL_Y, ACCEL_Z, GYRO_ROT_X, GYRO_ROT_Y, MOUSE_X, MOUSE_Y, Laser_Distance, Speed_L, Speed_R
1665056329.3995423,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056329.4120905,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056329.5120568,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056329.61204,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056329.7121108,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056329.812344,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056329.9123359,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056330.0123734,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056330.1124167,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056330.2124279,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056330.3122306,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056330.4123762,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056330.512363,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056330.6121662,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056330.713418,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056330.8124123,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056330.912438,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056331.012497,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056331.1124914,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056331.2125046,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056331.3123832,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056331.4124503,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056331.51247,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056331.6122885,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056331.712799,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056331.8123927,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056331.9125547,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.012618,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.1125448,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056332.2122688,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.3123953,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.412403,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056332.5126565,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.6132126,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.712759,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056332.8125563,0,0,0,0,0,0,0,0,0,0,61,0,0
1665056332.9126468,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056333.0126905,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056333.1128666,0,0,0,0,0,0,0,0,0,0,61,0,0
1665056333.2127552,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056333.3126976,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056333.4126718,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056333.512917,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056333.6127114,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056333.7130232,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056333.8126597,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056333.9126735,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056334.0128078,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056334.1127229,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056334.2126982,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056334.3127732,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056334.4128263,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056334.512741,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056334.612835,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056334.712888,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056334.8128624,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056334.9128392,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056335.012831,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056335.1128144,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056335.212817,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056335.313013,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056335.41291,0,0,0,0,0,0,0,0,0,0,61,0,0
1665056335.512847,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056335.6129088,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056335.7127984,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056335.812924,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056335.9129605,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056336.0131774,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056336.112913,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056336.2129564,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056336.312674,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056336.4126556,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056336.5129826,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056336.612982,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056336.7128441,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056336.8127427,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056336.9130375,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056337.0130708,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056337.112956,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056337.2130618,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056337.3130891,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056337.4130015,0,0,0,0,0,0,0,0,0,0,66,0,0
1665056337.51316,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056337.612846,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056337.7152257,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056337.8130786,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056337.9130232,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056338.0132556,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056338.113129,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056338.2130494,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056338.3130805,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056338.413271,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056338.5135164,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056338.6134355,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056338.712902,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056338.8135877,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056338.9131966,0,0,0,0,0,0,0,0,0,0,66,0,0
1665056339.0133076,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056339.1132433,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056339.2137535,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056339.3133798,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056339.4129364,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056339.5130217,0,0,0,0,0,0,0,0,0,0,66,0,0
1665056339.6132662,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056339.7133126,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056339.8132772,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056339.913325,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.013358,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056340.1132452,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.2132936,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.3133824,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056340.4132972,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.5134068,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056340.6130972,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056340.7134066,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.8133109,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056340.9131129,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056341.0134926,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056341.1134074,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056341.213474,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056341.3134167,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056341.4131107,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056341.5134535,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056341.613437,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056341.713685,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056341.8131762,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056341.9131858,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056342.0135741,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056342.1135383,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056342.2135396,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056342.3141816,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056342.4139316,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056342.5133214,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056342.6141105,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056342.7138498,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056342.8135214,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056342.913522,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056343.0136776,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056343.113582,0,0,0,0,0,0,0,0,0,0,66,0,0
1665056343.2135446,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056343.3135815,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056343.4132388,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056343.5133398,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056343.6136613,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056343.7137618,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056343.81364,0,0,0,0,0,0,0,0,0,0,66,0,0
1665056343.913744,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056344.0138268,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056344.1137662,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056344.2137556,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056344.3137443,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056344.4137397,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056344.513646,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056344.6135213,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056344.7139037,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056344.8142962,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056344.913788,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056345.0138276,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056345.1137643,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056345.2137678,0,0,0,0,0,0,0,0,0,0,67,0,0
1665056345.3137238,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056345.4137154,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056345.5141473,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056345.6134548,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056345.714444,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056345.8142216,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056345.914296,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056346.0144706,0,0,0,0,0,0,0,0,0,0,65,0,0
1665056346.1139357,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056346.2138872,0,0,0,0,0,0,0,0,0,0,63,0,0
1665056346.3138392,0,0,0,0,0,0,0,0,0,0,64,0,0
1665056346.4141202,0,0,0,0,0,0,0,0,0,0,62,0,0
1665056346.5142796,0,0,0,0,0,0,0,0,0,0,62,0,0
